gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
UQCRH,-0.586902453,0.533,0.688,1.2E-71,3.6E-67,L5/6-CC
ATP5MF,-0.89594267,0.237,0.387,1.1E-71,3.1E-67,inb-pv
ARF3,-0.716319215,0.357,0.505,1.0E-71,3.1E-67,inb-pv
GRINA,-0.638443427,0.172,0.333,9.7E-72,2.9E-67,inb-sst
RPL7A,-0.70365885,2.54E-01,0.405,8.62E-72,2.56E-67,opc
COX4I1,-0.65233744,2.48E-01,0.4,8.54E-72,2.54E-67,opc
UQCRFS1,-0.986408049,0.159,0.291,8.5E-72,2.5E-67,inb-vip
NUMBL,-0.572148265,0.208,0.299,8.2E-72,2.4E-67,L4
MAP1S,-0.619955728,0.196,0.284,8.2E-72,2.4E-67,L4
TMEM14C,-0.696236769,0.202,0.262,8.0E-72,2.4E-67,L2/3
RPL29,-0.577723714,0.246,0.426,7.9E-72,2.3E-67,inb-sst
GPX4,-0.837851996,0.383,0.544,7.7E-72,2.3E-67,L5/6
ATP5MD,-0.626892077,0.516,0.669,7.5E-72,2.2E-67,L5/6-CC
PPIA,-0.532312855,0.559,0.718,7.5E-72,2.2E-67,L5/6-CC
RPL17,-0.552180814,0.22,0.309,7.3E-72,2.2E-67,ast
DCHS2,0.503093303,0.267,0.196,7.2E-72,2.1E-67,L2/3
COX6C,-0.783572939,2.65E-01,0.414,7.17E-72,2.13E-67,opc
ATP5PO,-0.782499509,0.339,0.501,7.0E-72,2.1E-67,L5/6-CC
SFXN4,-0.586375582,0.246,0.339,6.7E-72,2.0E-67,L4
TMEM130,-0.517336415,0.332,0.525,6.7E-72,2.0E-67,inb-sst
LINC02755,-0.539586943,0.31,0.373,6.5E-72,1.9E-67,L2/3
BACE2,-0.711700875,0.322,0.489,6.2E-72,1.8E-67,L5/6-CC
UQCR10,-0.746885993,0.359,0.509,6.2E-72,1.8E-67,inb-pv
PPIA,-0.516041568,0.247,0.386,5.9E-72,1.8E-67,micro
ENC1,-0.50736557,0.27,0.364,5.8E-72,1.7E-67,ast
PHKG2,-0.54483624,0.303,0.362,5.8E-72,1.7E-67,L2/3
DBNDD2,-0.991253106,0.221,0.38,5.1E-72,1.5E-67,L5/6-CC
PARP8,0.510223811,0.811,0.783,4.7E-72,1.4E-67,L5/6-CC
UBAC1,-0.527579953,0.232,0.325,4.3E-72,1.3E-67,L4
HSD11B1L,-0.855578161,0.274,0.434,4.1E-72,1.2E-67,L5/6-CC
PNOC,-1.354006171,0.142,0.265,4.1E-72,1.2E-67,inb-vip
PTGES2,-0.966800276,0.187,0.328,4.0E-72,1.2E-67,inb-pv
ATP6V0B,-0.876541145,1.94E-01,0.334,3.90E-72,1.16E-67,opc
TIMM13,-1.063343002,0.126,0.253,3.7E-72,1.1E-67,inb-vip
NDUFA5,-0.667171933,0.155,0.279,3.6E-72,1.1E-67,micro
HSPA8,-0.631036028,0.512,0.617,3.6E-72,1.1E-67,endo
PMEPA1,-0.919358489,0.149,0.264,3.6E-72,1.1E-67,micro
NDUFS5,-0.655954008,0.407,0.581,3.6E-72,1.1E-67,L5/6-CC
PSMB6,-1.024061153,0.206,0.361,3.3E-72,9.8E-68,L5/6-CC
OCIAD1,-0.586538913,0.59,0.678,3.3E-72,9.7E-68,inb-vip
BCAN,-0.564514335,0.308,0.393,3.2E-72,9.6E-68,ast
CYP46A1,-0.624308605,0.25,0.338,3.2E-72,9.5E-68,ast
NCLN,-0.528517303,0.213,0.305,3.2E-72,9.5E-68,L4
ATP6V0B,-0.803959316,0.406,0.554,3.2E-72,9.4E-68,L5/6
GHR,0.672034129,0.68,0.57,3.1E-72,9.3E-68,L5/6
TOX4,-0.5073235,0.278,0.376,3.1E-72,9.2E-68,L4
PSMC3,-0.961265477,0.24,0.4,2.8E-72,8.4E-68,L5/6-CC
ATP6V0D1,-0.824229222,0.272,0.411,2.7E-72,8.1E-68,inb-vip
PNKP,-0.560779321,0.261,0.321,2.7E-72,8.1E-68,L2/3
GPR162,-0.895645935,0.132,0.28,2.5E-72,7.5E-68,inb-sst
COMMD2,-0.603578774,0.239,0.332,2.4E-72,7.2E-68,L4
AMDHD2,-0.60840438,0.179,0.267,2.4E-72,7.1E-68,L4
FAU,-0.633483817,0.316,0.476,2.4E-72,7.1E-68,inb-pv
COX17,-0.573151368,0.17,0.258,2.2E-72,6.7E-68,L4
AP003086.1,0.650651653,3.46E-01,3.18E-01,2.15E-72,6.38E-68,oli
MAP7D1,-0.518017026,0.251,0.345,2.1E-72,6.2E-68,L4
EID1,-0.558005608,0.486,0.654,2.0E-72,5.9E-68,L5/6-CC
SSNA1,-1.077741634,0.203,0.357,1.8E-72,5.4E-68,L5/6-CC
WDR83,-0.624485257,0.191,0.254,1.8E-72,5.3E-68,L2/3
CACNA1G,-0.699497505,0.335,0.507,1.6E-72,4.7E-68,L5/6-CC
PDIA2,-0.522452399,0.231,0.324,1.6E-72,4.7E-68,L4
UBE2M,-1.02912329,0.2,0.342,1.3E-72,3.8E-68,inb-pv
SEC11C,-0.836455619,0.134,0.285,1.2E-72,3.7E-68,inb-sst
CGREF1,-0.94268049,0.209,0.365,1.2E-72,3.5E-68,L5/6-CC
ATP5IF1,-0.558525985,0.308,0.493,1.0E-72,3.1E-68,inb-sst
PLEKHJ1,-1.189500438,0.122,0.253,1.0E-72,3.0E-68,inb-pv
VWA5B2,-0.863012075,0.248,0.413,1.0E-72,3.0E-68,L5/6-CC
RPS23,-0.812001699,0.464,0.626,9.9E-73,2.9E-68,L5/6-CC
UQCR11,-0.560405252,0.191,0.281,9.8E-73,2.9E-68,ast
SPATA33,-0.605062943,0.177,0.263,9.5E-73,2.8E-68,L4
RPL19,-0.527389816,0.31,0.503,9.3E-73,2.8E-68,inb-sst
NEIL1,-0.681327034,0.392,0.556,8.8E-73,2.6E-68,L5/6-CC
AC021613.1,0.869194772,0.609,0.528,8.5E-73,2.5E-68,L5/6-CC
SPHKAP,-0.582581922,0.253,0.348,8.3E-73,2.5E-68,L4
ATP5F1E,-0.817958696,2.25E-01,0.375,8.15E-73,2.42E-68,opc
UBB,-0.522167249,0.523,0.634,8.0E-73,2.4E-68,endo
ILF2,-0.661022615,0.218,0.28,8.0E-73,2.4E-68,L2/3
KMT5A,-0.582348306,0.244,0.337,6.9E-73,2.0E-68,L4
APLP1,-0.768695264,0.433,0.552,6.7E-73,2.0E-68,inb-vip
COX7C,-0.562895064,0.248,0.389,6.5E-73,1.9E-68,micro
LY6E,-0.954406501,0.158,0.293,6.2E-73,1.8E-68,inb-vip
CYP51A1,-0.813428393,0.321,0.458,6.1E-73,1.8E-68,inb-vip
GOT1,-0.625468572,0.257,0.434,6.0E-73,1.8E-68,inb-sst
EEF1B2,-0.847876588,0.248,0.411,5.9E-73,1.7E-68,L5/6-CC
MRAS,0.635942322,0.392,0.309,5.9E-73,1.7E-68,ast
ECE2,-0.709659733,0.409,0.555,5.6E-73,1.7E-68,inb-pv
CAMKV,-0.656363817,0.462,0.624,5.5E-73,1.6E-68,L5/6-CC
OLFM1,-0.624860782,0.493,0.628,5.4E-73,1.6E-68,inb-pv
ATP5MC1,-0.79496634,0.35,0.518,5.3E-73,1.6E-68,L5/6-CC
PRELID1,-1.042325241,0.14,0.278,5.2E-73,1.5E-68,inb-pv
TECR,-0.655242472,0.206,0.29,5.1E-73,1.5E-68,ast
CTSF,-0.876757236,0.26,0.408,4.5E-73,1.3E-68,inb-pv
GABARAPL2,-0.64342301,0.411,0.589,4.5E-73,1.3E-68,L5/6-CC
DMWD,-0.525316114,0.209,0.301,4.4E-73,1.3E-68,L4
CHCHD10,-0.600218188,0.449,0.621,4.3E-73,1.3E-68,L5/6-CC
MRPS7,-1.17993725,0.148,0.284,3.9E-73,1.2E-68,inb-pv
CADM4,-0.934069814,0.137,0.287,3.7E-73,1.1E-68,inb-sst
DAGLA,-0.562376517,0.241,0.337,3.6E-73,1.1E-68,L4
APOE,-1.422210171,1.37E-01,0.263,3.49E-73,1.04E-68,opc
EGFL7,-0.900729427,0.256,0.418,3.4E-73,1.0E-68,L5/6-CC
ZFP36L2,-0.542559882,0.442,0.584,3.4E-73,1.0E-68,micro
TUBB4B,-0.697188907,0.151,0.309,3.3E-73,9.9E-69,inb-sst
RPL15,-0.661504916,2.93E-01,0.448,3.17E-73,9.41E-69,opc
RPL10A,-0.860331069,0.283,0.437,3.1E-73,9.3E-69,inb-pv
RPL35A,-0.56193019,0.282,0.468,3.0E-73,9.0E-69,inb-sst
TUBA4A,-0.669224582,0.18,0.347,3.0E-73,8.8E-69,inb-sst
TLE5,-0.557446671,0.52,0.694,3.0E-73,8.8E-69,L5/6-CC
B3GAT3,-0.934386515,0.241,0.391,2.8E-73,8.3E-69,inb-pv
NR3C2,0.605690386,0.668,0.567,2.7E-73,8.2E-69,L5/6
SSBP4,-0.857864799,0.247,0.385,2.5E-73,7.5E-69,inb-vip
DPP7,-0.65790027,0.399,0.541,2.5E-73,7.4E-69,inb-pv
KIFC2,-0.622047879,0.529,0.683,2.5E-73,7.3E-69,L5/6-CC
ZFAS1,-0.588937313,0.253,0.348,2.4E-73,7.1E-69,L4
RPL23A,-1.034480251,0.279,0.444,2.3E-73,6.9E-69,L5/6-CC
CCT2,-0.509609618,0.304,0.402,2.1E-73,6.2E-69,L4
ADAMTS9-AS2,0.505107833,0.74,0.675,2.1E-73,6.1E-69,inb-pv
SYNGR1,-0.714804977,0.247,0.423,2.1E-73,6.1E-69,inb-sst
FKBP8,-0.818204022,0.319,0.466,2.0E-73,5.9E-69,inb-pv
TTC28,0.530636847,0.762,0.688,1.9E-73,5.6E-69,L5/6
MICAL1,-0.503235791,0.364,0.417,1.9E-73,5.6E-69,L2/3
AP1S1,-1.083249098,0.211,0.375,1.7E-73,5.0E-69,L5/6
HDAC10,-0.582928469,0.18,0.27,1.5E-73,4.5E-69,L4
MIF,-0.725588105,0.409,0.564,1.5E-73,4.5E-69,inb-pv
LINC01727,-0.57148633,0.312,0.403,1.5E-73,4.5E-69,ast
DNAJC8,-0.52095259,0.201,0.279,1.5E-73,4.4E-69,inb
USP5,-0.503002514,0.22,0.314,1.5E-73,4.4E-69,L4
MTCH1,-0.54545137,0.35,0.54,1.4E-73,4.3E-69,inb-sst
CFL1,-0.543212881,0.306,0.498,1.3E-73,4.0E-69,inb-sst
LPCAT4,-0.677646867,0.436,0.604,1.2E-73,3.6E-69,L5/6-CC
JCAD,-0.774801306,0.331,0.496,1.2E-73,3.6E-69,L5/6-CC
PFDN5,-0.694752684,0.371,0.525,1.2E-73,3.4E-69,inb-pv
ATP5PF,-0.627299821,0.259,0.443,1.1E-73,3.4E-69,inb-sst
AC124854.1,0.589018187,0.492,0.424,1.1E-73,3.3E-69,L4
MFSD2A,-0.762677109,0.362,0.488,9.7E-74,2.9E-69,endo
RHBDL1,-0.778352614,0.365,0.528,9.3E-74,2.8E-69,L5/6-CC
NME3,-0.745582622,0.283,0.438,7.8E-74,2.3E-69,inb-pv
PDK2,-0.646588439,0.224,0.316,7.6E-74,2.3E-69,L4
EDF1,-0.7963839,0.14,0.259,7.4E-74,2.2E-69,micro
UBL5,-0.568450728,0.186,0.278,7.3E-74,2.2E-69,ast
SCAMP5,-0.502294192,0.594,0.694,7.0E-74,2.1E-69,inb-vip
CTSD,-0.955700783,0.241,0.387,6.7E-74,2.0E-69,inb-pv
SCG5,-0.714786939,0.171,0.301,6.6E-74,2.0E-69,micro
CPEB2,0.513429566,0.469,0.411,6.3E-74,1.9E-69,inb
MAPK3,-0.539437467,0.297,0.358,6.2E-74,1.8E-69,L2/3
SLC29A1,-0.544522643,0.195,0.271,6.1E-74,1.8E-69,inb
AC119673.2,1.446789073,0.278,0.159,5.9E-74,1.7E-69,inb-pv
CD63,-0.772084746,0.404,0.566,5.4E-74,1.6E-69,L5/6-CC
POLR2C,-0.542973777,0.285,0.346,5.3E-74,1.6E-69,L2/3
PDPR,-0.551246522,0.248,0.343,4.9E-74,1.5E-69,L4
TMEM222,-0.528117931,0.183,0.258,4.6E-74,1.4E-69,inb
ARFRP1,-0.547709526,0.17,0.259,4.6E-74,1.4E-69,L4
RIC8A,-0.654791085,0.237,0.298,4.6E-74,1.4E-69,L2/3
MAP1S,-0.524927327,0.325,0.384,4.4E-74,1.3E-69,L2/3
AC098588.3,0.59617726,0.759,0.716,4.3E-74,1.3E-69,L5/6-CC
UBB,-0.559161124,0.355,0.55,4.3E-74,1.3E-69,inb-sst
ICAM5,-0.746314744,0.292,0.464,4.0E-74,1.2E-69,L5/6-CC
FSCN1,-0.830249632,0.258,0.426,4.0E-74,1.2E-69,L5/6-CC
TUBA4A,-0.883805359,0.265,0.416,3.7E-74,1.1E-69,inb-pv
GABRD,-1.076763735,0.471,0.658,3.7E-74,1.1E-69,inb-sv2c
COX6C,-0.60080532,0.255,0.397,3.6E-74,1.1E-69,micro
TTYH3,-0.549684357,0.268,0.362,3.5E-74,1.1E-69,L4
STMN2,-0.537581228,0.503,0.68,3.4E-74,1.0E-69,inb-sst
MFGE8,-0.718641941,0.211,0.296,3.4E-74,1.0E-69,ast
AC093523.1,0.843586797,0.513,0.384,3.1E-74,9.1E-70,L5/6
RPL21,-0.717524419,0.4,0.536,2.9E-74,8.6E-70,inb-vip
C4orf3,-0.527860954,0.181,0.258,2.9E-74,8.5E-70,inb
DPYSL5,-0.747432205,0.348,0.515,2.8E-74,8.3E-70,L5/6-CC
RUNDC3A,-0.58095768,0.506,0.667,2.8E-74,8.2E-70,L5/6-CC
ATP6V1G2,-0.882079558,0.248,0.401,2.7E-74,8.0E-70,inb-pv
PSMC5,-0.861952117,0.282,0.446,2.4E-74,7.2E-70,L5/6-CC
GOLT1B,-0.528842763,0.572,0.718,2.4E-74,7.0E-70,L5/6-CC
LAMP5,-0.603176247,0.376,0.432,2.3E-74,6.9E-70,L2/3
SPCS1,-0.747257523,0.374,0.544,2.3E-74,6.8E-70,L5/6-CC
RHOT2,-0.734037809,0.323,0.476,2.3E-74,6.7E-70,inb-pv
MIR31HG,0.674966443,0.439,0.363,2.2E-74,6.5E-70,L4
RTF2,-0.520921662,0.263,0.361,2.1E-74,6.3E-70,L4
UBC,-0.683882464,0.462,0.582,2.1E-74,6.3E-70,inb-vip
MLX,-0.643944926,0.202,0.265,2.0E-74,6.1E-70,L2/3
STMN3,-0.611289971,0.308,0.491,1.9E-74,5.7E-70,inb-sst
PIM3,-1.072963761,0.159,0.311,1.9E-74,5.5E-70,L5/6-CC
RPS25,-0.984654916,0.308,0.473,1.8E-74,5.4E-70,L5/6
NEDD8,-0.992842281,0.307,0.472,1.7E-74,5.1E-70,L5/6
RPSA,-0.670620527,0.475,0.639,1.6E-74,4.9E-70,L5/6-CC
CYCS,-0.868286454,0.259,0.405,1.5E-74,4.6E-70,inb-vip
NSG1,-0.723814943,0.166,0.328,1.5E-74,4.5E-70,inb-sst
FCHO1,-0.531952097,0.226,0.321,1.5E-74,4.5E-70,L4
TAFA1,-0.533157139,0.276,0.372,1.4E-74,4.3E-70,ast
COMMD7,-0.520264946,0.243,0.322,1.4E-74,4.2E-70,inb
RNASEK,-0.908898356,0.368,0.522,1.4E-74,4.1E-70,L5/6
LINC00672,-0.505294629,0.294,0.36,1.4E-74,4.1E-70,L2/3
DYNLL1,-0.579133323,3.84E-01,0.539,1.36E-74,4.04E-70,opc
PLD3,-0.523001816,0.51,0.684,1.3E-74,3.9E-70,inb-sst
VSTM2B,-0.670022008,0.46,0.624,1.3E-74,3.9E-70,L5/6-CC
CA11,-0.871144266,0.344,0.504,1.2E-74,3.6E-70,L5/6
SSBP4,-0.954827565,0.247,0.393,1.2E-74,3.5E-70,inb-pv
GPS1,-0.641189908,0.176,0.264,1.0E-74,3.1E-70,L4
CAMK2N1,-0.655316595,2.54E-01,0.411,9.79E-75,2.91E-70,opc
MRPL55,-0.911825968,0.193,0.355,8.4E-75,2.5E-70,L5/6-CC
MOAP1,-0.835699049,0.272,0.417,8.2E-75,2.4E-70,inb-vip
RHBDL1,-0.959851498,0.145,0.298,8.1E-75,2.4E-70,inb-sst
COX7C,-0.532804944,0.34,0.536,7.8E-75,2.3E-70,inb-sst
FTH1,-0.887814502,0.717,0.823,7.8E-75,2.3E-70,inb-sv2c
TESC,-0.523270877,0.261,0.361,6.6E-75,2.0E-70,L4
AGRN,-1.132429892,0.16,0.318,6.6E-75,2.0E-70,L5/6
FTH1,-0.566525627,6.50E-01,0.745,6.52E-75,1.94E-70,opc
PHAX,-0.562388437,0.234,0.329,5.9E-75,1.8E-70,L4
HERPUD1,-0.51089341,0.204,0.281,5.8E-75,1.7E-70,inb
COX5A,-0.897779054,0.198,0.341,5.8E-75,1.7E-70,inb-vip
FGF1,-0.539302266,0.22,0.315,5.6E-75,1.7E-70,L4
NDUFC2,-0.591771122,0.179,0.267,5.6E-75,1.7E-70,ast
HINT1,-0.501602675,0.362,0.559,5.5E-75,1.6E-70,inb-sst
METTL26,-0.816567064,0.296,0.466,5.5E-75,1.6E-70,L5/6-CC
ATXN7L3B,-0.591845192,0.344,0.441,5.4E-75,1.6E-70,L4
XRRA1,0.624705063,2.53E-01,2.15E-01,5.40E-75,1.60E-70,oli
UQCR11,-0.920587569,0.268,0.437,5.1E-75,1.5E-70,L5/6
LARP6,-0.592785964,0.183,0.275,5.1E-75,1.5E-70,L4
KCNK4,-0.98290335,0.159,0.313,5.1E-75,1.5E-70,L5/6-CC
AHSA1,-0.559186717,0.315,0.373,4.8E-75,1.4E-70,L2/3
DUSP3,-0.523871443,0.259,0.354,4.8E-75,1.4E-70,L4
TMEM132A,-0.703173525,0.368,0.537,4.7E-75,1.4E-70,L5/6-CC
ANKRD13D,-0.686091044,0.394,0.563,4.5E-75,1.3E-70,L5/6-CC
RPS15,-0.636330878,0.528,0.694,4.4E-75,1.3E-70,L5/6-CC
SHFL,-0.954213725,0.141,0.294,4.3E-75,1.3E-70,inb-sst
BTF3,-1.04736947,0.216,0.366,4.3E-75,1.3E-70,inb-pv
CKB,-0.851524983,0.768,0.822,3.8E-75,1.1E-70,inb-sv2c
CALY,-1.104182348,0.617,0.728,3.7E-75,1.1E-70,inb-sv2c
PRKG1,0.521906264,0.517,0.471,3.6E-75,1.1E-70,inb
FAM241B,-1.034134635,0.185,0.343,3.4E-75,1.0E-70,L5/6-CC
DRAP1,-0.794832804,0.134,0.289,3.2E-75,9.7E-71,inb-sst
OLFM1,-0.706270802,0.533,0.636,3.2E-75,9.4E-71,inb-vip
SDK1,0.642751084,0.763,0.68,3.0E-75,9.0E-71,L5/6
PSMD8,-0.786626797,0.314,0.486,2.8E-75,8.3E-71,L5/6-CC
PSMC5,-0.879176742,0.122,0.272,2.7E-75,8.1E-71,inb-sst
FBXL16,-0.677270745,0.383,0.559,2.6E-75,7.7E-71,L5/6-CC
TRAPPC5,-0.9369538,0.214,0.354,2.5E-75,7.5E-71,inb-vip
NAA20,-0.544085612,0.246,0.343,2.4E-75,7.2E-71,L4
VAMP2,-0.534745917,0.554,0.672,2.2E-75,6.7E-71,endo
TMEM126B,-0.526281059,0.252,0.348,2.0E-75,5.8E-71,L4
SPTLC2,0.822454136,0.436,0.33,1.9E-75,5.8E-71,micro
PPIB,-0.681659643,0.229,0.289,1.9E-75,5.7E-71,L2/3
MZT2B,-0.571060848,0.228,0.414,1.7E-75,5.2E-71,inb-sst
STAT3,0.597705281,0.328,0.235,1.7E-75,5.0E-71,ast
ATP5MD,-0.664852568,0.461,0.602,1.6E-75,4.6E-71,inb-pv
FAM131A,-0.642028794,0.426,0.597,1.5E-75,4.6E-71,L5/6-CC
FBXW5,-0.933434358,0.167,0.313,1.5E-75,4.4E-71,inb-pv
RPL37A,-0.680831199,0.354,0.484,1.4E-75,4.3E-71,micro
TBRG1,-0.724446092,0.488,0.626,1.3E-75,4.0E-71,L5/6
GSS,-0.549705471,0.261,0.326,1.3E-75,4.0E-71,L2/3
BTG1,-0.567293762,0.209,0.286,1.3E-75,3.8E-71,inb
RPL11,-0.68564475,0.474,0.643,1.2E-75,3.7E-71,L5/6-CC
COX8A,-0.958543669,0.239,0.405,1.2E-75,3.6E-71,L5/6-CC
UQCR10,-0.761847302,0.38,0.55,1.2E-75,3.5E-71,L5/6-CC
CSPG5,-0.5072903,0.211,0.289,1.2E-75,3.5E-71,inb
ANKRD13D,-0.850319331,0.16,0.319,1.1E-75,3.2E-71,inb-sst
ABHD14A,-0.984290945,0.228,0.366,9.5E-76,2.8E-71,inb-vip
NETO2,-0.540719452,0.382,0.477,9.1E-76,2.7E-71,L4
HOPX,-0.889213274,0.147,0.308,8.9E-76,2.6E-71,inb-sst
CADM1,0.522340642,0.834,0.791,8.5E-76,2.5E-71,L5/6-CC
RPAIN,-0.502544661,0.24,0.322,7.9E-76,2.3E-71,inb
BSCL2,-0.661561141,0.512,0.635,7.2E-76,2.1E-71,inb-pv
DTX3,-0.514209225,0.31,0.412,7.1E-76,2.1E-71,L4
HLA-C,-0.706094049,0.534,0.634,7.1E-76,2.1E-71,endo
SCRN3,-0.570128005,0.263,0.362,6.7E-76,2.0E-71,L4
LDHA,-0.695657325,0.391,0.565,6.5E-76,1.9E-71,L5/6-CC
RABAC1,-0.871670034,0.21,0.361,6.5E-76,1.9E-71,inb-pv
EIF3K,-0.686849718,0.187,0.274,6.2E-76,1.8E-71,ast
MELTF-AS1,-0.772953587,0.2,0.261,6.0E-76,1.8E-71,L2/3
RPS23,-0.663039641,0.436,0.571,5.6E-76,1.7E-71,inb-vip
DNAJC5G,-0.563868985,0.219,0.287,5.5E-76,1.6E-71,L2/3
SIRT7,-0.536880286,0.298,0.359,5.4E-76,1.6E-71,L2/3
NKAIN4,-0.927264783,2.38E-01,0.382,5.24E-76,1.56E-71,opc
RAD23A,-0.941602216,0.239,0.388,5.1E-76,1.5E-71,inb-pv
RPL21,-0.627106505,0.287,0.475,4.8E-76,1.4E-71,inb-sst
RPS13,-0.695016419,0.194,0.369,4.5E-76,1.3E-71,inb-sst
TUBA4A,-0.914443058,0.192,0.335,4.4E-76,1.3E-71,inb-vip
GGT7,-0.582459407,0.333,0.521,4.3E-76,1.3E-71,inb-sst
RPLP0,-0.518113674,0.309,0.374,4.1E-76,1.2E-71,L2/3
RYR3,-0.595553287,0.471,0.635,4.0E-76,1.2E-71,L5/6-CC
NDUFB8,-0.753798,2.38E-01,0.39,4.02E-76,1.20E-71,opc
PIN1,-1.044434531,1.18E-01,0.253,4.00E-76,1.19E-71,opc
TMEM179B,-0.647049705,0.215,0.279,3.8E-76,1.1E-71,L2/3
LRMDA,0.622755537,0.252,0.183,3.6E-76,1.1E-71,L2/3
ELOB,-0.632664003,0.219,0.398,3.5E-76,1.0E-71,inb-sst
RPS18,-0.963127926,0.38,0.539,3.4E-76,1.0E-71,L5/6
ARPP19,-0.681098209,2.93E-01,0.453,3.22E-76,9.59E-72,opc
PMPCA,-0.621033579,0.178,0.268,3.0E-76,9.1E-72,L4
RPL6,-0.719653748,0.424,0.561,3.0E-76,8.8E-72,inb-vip
YWHAB,-0.58589968,0.471,0.654,2.9E-76,8.7E-72,inb-sst
COPS6,-0.73980085,0.36,0.534,2.7E-76,8.1E-72,L5/6-CC
FNDC3B,0.91972216,0.349,0.236,2.7E-76,7.9E-72,micro
TAPBP,-0.524546886,0.276,0.376,2.4E-76,7.2E-72,L4
RPL10A,-0.981110677,0.309,0.478,2.4E-76,7.1E-72,L5/6
TRABD,-0.596377621,0.253,0.317,2.4E-76,7.0E-72,L2/3
MYL12B,-0.810671931,0.32,0.493,2.3E-76,6.7E-72,L5/6-CC
RPL15,-0.572736097,0.6,0.757,2.2E-76,6.6E-72,L5/6-CC
LSM5,-0.52884978,0.315,0.376,2.0E-76,5.9E-72,L2/3
ALCAM,1.04936984,0.31,0.199,2.0E-76,5.9E-72,micro
THRA,-0.527209446,0.326,0.426,1.8E-76,5.3E-72,L4
PDGFC,0.603714087,0.514,0.448,1.8E-76,5.3E-72,L4
CXXC5,-0.705822601,0.355,0.531,1.7E-76,5.1E-72,L5/6-CC
VWA5B2,-1.044367324,0.276,0.442,1.7E-76,5.0E-72,L5/6
GP1BB,-0.57443738,0.366,0.419,1.7E-76,4.9E-72,L2/3
GIT1,-0.504483887,0.268,0.368,1.6E-76,4.8E-72,L4
SRSF9,-0.793139777,0.3,0.474,1.5E-76,4.6E-72,L5/6-CC
NDUFA5,-0.59150065,0.208,0.3,1.4E-76,4.2E-72,ast
FLG-AS1,-0.658827109,0.263,0.454,1.4E-76,4.1E-72,L5/6-CC
TGFBR1,0.72621702,0.477,0.37,1.3E-76,4.0E-72,micro
RPL14,-0.704538516,0.44,0.588,1.3E-76,3.9E-72,inb-pv
GPR162,-0.934170878,0.255,0.406,1.3E-76,3.9E-72,inb-pv
HRAS,-1.128394276,0.124,0.262,1.2E-76,3.5E-72,inb-pv
GAB1,0.887346564,0.419,0.271,1.1E-76,3.4E-72,L5/6
PTOV1,-0.59653757,0.252,0.348,1.1E-76,3.2E-72,L4
CARMIL2,-0.622208085,0.283,0.344,9.7E-77,2.9E-72,L2/3
PAXX,-1.118806839,0.111,0.257,9.7E-77,2.9E-72,inb-sst
CHST10,-0.597373598,0.195,0.287,9.3E-77,2.8E-72,L4
PRRT3,-0.530361693,0.165,0.254,9.1E-77,2.7E-72,L4
TUBB4A,-0.720096519,0.389,0.559,9.1E-77,2.7E-72,L5/6-CC
JPT1,-0.850410024,0.26,0.432,8.6E-77,2.6E-72,L5/6-CC
BCL2,1.145649801,0.374,0.233,8.3E-77,2.5E-72,L5/6-CC
ATP5MC1,-0.696756686,0.173,0.343,7.8E-77,2.3E-72,inb-sst
MARCKS,-0.570347707,0.264,0.404,7.5E-77,2.2E-72,micro
DAPK1,0.52309962,0.753,0.671,7.3E-77,2.2E-72,L5/6
ARFRP1,-0.581798879,0.28,0.344,7.3E-77,2.2E-72,L2/3
LMAN2,-0.672215218,0.21,0.273,6.7E-77,2.0E-72,L2/3
CDK2AP1,-0.687492775,0.206,0.27,6.5E-77,1.9E-72,L2/3
C1orf122,-0.875994192,0.254,0.411,5.7E-77,1.7E-72,inb-pv
NBL1,-0.868229173,0.15,0.31,5.3E-77,1.6E-72,inb-sst
AP2M1,-0.595416757,0.301,0.487,5.1E-77,1.5E-72,inb-sst
DCTN2,-0.675899189,0.409,0.581,5.0E-77,1.5E-72,L5/6-CC
BRSK1,-0.713591701,0.421,0.588,4.8E-77,1.4E-72,L5/6-CC
PRELID1,-0.91491184,0.215,0.383,4.7E-77,1.4E-72,L5/6-CC
H2AFZ,-0.759755299,0.333,0.49,4.6E-77,1.4E-72,inb-pv
SLC25A3,-0.656201882,0.262,0.449,4.5E-77,1.3E-72,inb-sst
CHGB,-0.933854901,0.243,0.396,4.4E-77,1.3E-72,inb-pv
SERPINE2,-0.787010138,0.255,0.428,4.4E-77,1.3E-72,L5/6-CC
RFNG,-0.560909936,0.212,0.306,3.8E-77,1.1E-72,L4
CALR,-0.882817927,0.155,0.314,3.6E-77,1.1E-72,inb-sst
MLF2,-0.695974334,0.209,0.382,3.6E-77,1.1E-72,inb-sst
RCN1,-0.616128722,0.28,0.342,3.2E-77,9.6E-73,L2/3
CEND1,-0.588173064,0.242,0.426,3.2E-77,9.5E-73,inb-sst
PRRC2A,-0.531835168,0.287,0.385,3.1E-77,9.3E-73,L4
GABARAPL2,-0.620205272,0.219,0.313,3.0E-77,8.9E-73,ast
VDAC2,-0.929546738,0.159,0.319,2.8E-77,8.2E-73,inb-sst
RPL10A,-0.684785988,0.213,0.392,2.7E-77,8.0E-73,inb-sst
GPR162,-0.905150737,0.234,0.377,2.4E-77,7.0E-73,inb-vip
